country,indicator,age,year
Kenya,"Life expectancy at birth, total (years)",67.291,2017
Kenya,"Life expectancy at birth, total (years)",67.032,2016
Kenya,"Life expectancy at birth, total (years)",66.695,2015
Kenya,"Life expectancy at birth, total (years)",66.242,2014
Kenya,"Life expectancy at birth, total (years)",65.651,2013
Kenya,"Life expectancy at birth, total (years)",64.907,2012
Kenya,"Life expectancy at birth, total (years)",64.008,2011
Kenya,"Life expectancy at birth, total (years)",62.936,2010
Kenya,"Life expectancy at birth, total (years)",61.68,2009
Kenya,"Life expectancy at birth, total (years)",60.275,2008
Kenya,"Life expectancy at birth, total (years)",58.784,2007
Kenya,"Life expectancy at birth, total (years)",57.271,2006
Kenya,"Life expectancy at birth, total (years)",55.819,2005
Kenya,"Life expectancy at birth, total (years)",54.513,2004
Kenya,"Life expectancy at birth, total (years)",53.413,2003
Kenya,"Life expectancy at birth, total (years)",52.565,2002
Kenya,"Life expectancy at birth, total (years)",52.004,2001
Kenya,"Life expectancy at birth, total (years)",51.751,2000
Kenya,"Life expectancy at birth, total (years)",51.805,1999
Kenya,"Life expectancy at birth, total (years)",52.106,1998
Kenya,"Life expectancy at birth, total (years)",52.589,1997
Kenya,"Life expectancy at birth, total (years)",53.205,1996
Kenya,"Life expectancy at birth, total (years)",53.911,1995
Kenya,"Life expectancy at birth, total (years)",54.669,1994
Kenya,"Life expectancy at birth, total (years)",55.449,1993
Kenya,"Life expectancy at birth, total (years)",56.212,1992
Kenya,"Life expectancy at birth, total (years)",56.918,1991
Kenya,"Life expectancy at birth, total (years)",57.536,1990
Kenya,"Life expectancy at birth, total (years)",58.05,1989
Kenya,"Life expectancy at birth, total (years)",58.465,1988
Kenya,"Life expectancy at birth, total (years)",58.783,1987
Kenya,"Life expectancy at birth, total (years)",58.994,1986
Kenya,"Life expectancy at birth, total (years)",59.082,1985
Kenya,"Life expectancy at birth, total (years)",59.039,1984
Kenya,"Life expectancy at birth, total (years)",58.869,1983
Kenya,"Life expectancy at birth, total (years)",58.588,1982
Kenya,"Life expectancy at birth, total (years)",58.211,1981
Kenya,"Life expectancy at birth, total (years)",57.757,1980
Nigeria,"Life expectancy at birth, total (years)",53.875,2017
Nigeria,"Life expectancy at birth, total (years)",53.428,2016
Nigeria,"Life expectancy at birth, total (years)",52.985,2015
Nigeria,"Life expectancy at birth, total (years)",52.549,2014
Nigeria,"Life expectancy at birth, total (years)",52.121,2013
Nigeria,"Life expectancy at birth, total (years)",51.699,2012
Nigeria,"Life expectancy at birth, total (years)",51.279,2011
Nigeria,"Life expectancy at birth, total (years)",50.847,2010
Nigeria,"Life expectancy at birth, total (years)",50.385,2009
Nigeria,"Life expectancy at birth, total (years)",49.887,2008
Nigeria,"Life expectancy at birth, total (years)",49.356,2007
Nigeria,"Life expectancy at birth, total (years)",48.802,2006
Nigeria,"Life expectancy at birth, total (years)",48.246,2005
Nigeria,"Life expectancy at birth, total (years)",47.717,2004
Nigeria,"Life expectancy at birth, total (years)",47.24,2003
Nigeria,"Life expectancy at birth, total (years)",46.834,2002
Nigeria,"Life expectancy at birth, total (years)",46.509,2001
Nigeria,"Life expectancy at birth, total (years)",46.266,2000
Nigeria,"Life expectancy at birth, total (years)",46.101,1999
Nigeria,"Life expectancy at birth, total (years)",45.992,1998
Nigeria,"Life expectancy at birth, total (years)",45.921,1997
Nigeria,"Life expectancy at birth, total (years)",45.877,1996
Nigeria,"Life expectancy at birth, total (years)",45.852,1995
Nigeria,"Life expectancy at birth, total (years)",45.841,1994
Nigeria,"Life expectancy at birth, total (years)",45.843,1993
Nigeria,"Life expectancy at birth, total (years)",45.855,1992
Nigeria,"Life expectancy at birth, total (years)",45.873,1991
Nigeria,"Life expectancy at birth, total (years)",45.898,1990
Nigeria,"Life expectancy at birth, total (years)",45.937,1989
Nigeria,"Life expectancy at birth, total (years)",45.988,1988
Nigeria,"Life expectancy at birth, total (years)",46.046,1987
Nigeria,"Life expectancy at birth, total (years)",46.099,1986
Nigeria,"Life expectancy at birth, total (years)",46.125,1985
Nigeria,"Life expectancy at birth, total (years)",46.104,1984
Nigeria,"Life expectancy at birth, total (years)",46.021,1983
Nigeria,"Life expectancy at birth, total (years)",45.866,1982
Nigeria,"Life expectancy at birth, total (years)",45.635,1981
Nigeria,"Life expectancy at birth, total (years)",45.331,1980
Ghana,"Life expectancy at birth, total (years)",63.033,2017
Ghana,"Life expectancy at birth, total (years)",62.742,2016
Ghana,"Life expectancy at birth, total (years)",62.448,2015
Ghana,"Life expectancy at birth, total (years)",62.154,2014
Ghana,"Life expectancy at birth, total (years)",61.86,2013
Ghana,"Life expectancy at birth, total (years)",61.561,2012
Ghana,"Life expectancy at birth, total (years)",61.254,2011
Ghana,"Life expectancy at birth, total (years)",60.924,2010
Ghana,"Life expectancy at birth, total (years)",60.55,2009
Ghana,"Life expectancy at birth, total (years)",60.128,2008
Ghana,"Life expectancy at birth, total (years)",59.663,2007
Ghana,"Life expectancy at birth, total (years)",59.167,2006
Ghana,"Life expectancy at birth, total (years)",58.666,2005
Ghana,"Life expectancy at birth, total (years)",58.187,2004
Ghana,"Life expectancy at birth, total (years)",57.761,2003
Ghana,"Life expectancy at birth, total (years)",57.41,2002
Ghana,"Life expectancy at birth, total (years)",57.147,2001
Ghana,"Life expectancy at birth, total (years)",56.994,2000
Ghana,"Life expectancy at birth, total (years)",56.962,1999
Ghana,"Life expectancy at birth, total (years)",57.032,1998
Ghana,"Life expectancy at birth, total (years)",57.171,1997
Ghana,"Life expectancy at birth, total (years)",57.347,1996
Ghana,"Life expectancy at birth, total (years)",57.507,1995
Ghana,"Life expectancy at birth, total (years)",57.598,1994
Ghana,"Life expectancy at birth, total (years)",57.583,1993
Ghana,"Life expectancy at birth, total (years)",57.439,1992
Ghana,"Life expectancy at birth, total (years)",57.16,1991
Ghana,"Life expectancy at birth, total (years)",56.755,1990
Ghana,"Life expectancy at birth, total (years)",56.251,1989
Ghana,"Life expectancy at birth, total (years)",55.697,1988
Ghana,"Life expectancy at birth, total (years)",55.14,1987
Ghana,"Life expectancy at birth, total (years)",54.605,1986
Ghana,"Life expectancy at birth, total (years)",54.111,1985
Ghana,"Life expectancy at birth, total (years)",53.67,1984
Ghana,"Life expectancy at birth, total (years)",53.272,1983
Ghana,"Life expectancy at birth, total (years)",52.907,1982
Ghana,"Life expectancy at birth, total (years)",52.575,1981
Ghana,"Life expectancy at birth, total (years)",52.268,1980
Ethiopia,"Life expectancy at birth, total (years)",65.874,2017
Ethiopia,"Life expectancy at birth, total (years)",65.475,2016
Ethiopia,"Life expectancy at birth, total (years)",65.037,2015
Ethiopia,"Life expectancy at birth, total (years)",64.535,2014
Ethiopia,"Life expectancy at birth, total (years)",63.952,2013
Ethiopia,"Life expectancy at birth, total (years)",63.275,2012
Ethiopia,"Life expectancy at birth, total (years)",62.501,2011
Ethiopia,"Life expectancy at birth, total (years)",61.625,2010
Ethiopia,"Life expectancy at birth, total (years)",60.643,2009
Ethiopia,"Life expectancy at birth, total (years)",59.58,2008
Ethiopia,"Life expectancy at birth, total (years)",58.466,2007
Ethiopia,"Life expectancy at birth, total (years)",57.333,2006
Ethiopia,"Life expectancy at birth, total (years)",56.221,2005
Ethiopia,"Life expectancy at birth, total (years)",55.172,2004
Ethiopia,"Life expectancy at birth, total (years)",54.209,2003
Ethiopia,"Life expectancy at birth, total (years)",53.347,2002
Ethiopia,"Life expectancy at birth, total (years)",52.593,2001
Ethiopia,"Life expectancy at birth, total (years)",51.94,2000
Ethiopia,"Life expectancy at birth, total (years)",51.366,1999
Ethiopia,"Life expectancy at birth, total (years)",50.836,1998
Ethiopia,"Life expectancy at birth, total (years)",50.322,1997
Ethiopia,"Life expectancy at birth, total (years)",49.811,1996
Ethiopia,"Life expectancy at birth, total (years)",49.305,1995
Ethiopia,"Life expectancy at birth, total (years)",48.812,1994
Ethiopia,"Life expectancy at birth, total (years)",48.346,1993
Ethiopia,"Life expectancy at birth, total (years)",47.912,1992
Ethiopia,"Life expectancy at birth, total (years)",47.505,1991
Ethiopia,"Life expectancy at birth, total (years)",47.1,1990
Ethiopia,"Life expectancy at birth, total (years)",46.668,1989
Ethiopia,"Life expectancy at birth, total (years)",46.194,1988
Ethiopia,"Life expectancy at birth, total (years)",45.682,1987
Ethiopia,"Life expectancy at birth, total (years)",45.146,1986
Ethiopia,"Life expectancy at birth, total (years)",44.633,1985
Ethiopia,"Life expectancy at birth, total (years)",44.198,1984
Ethiopia,"Life expectancy at birth, total (years)",43.884,1983
Ethiopia,"Life expectancy at birth, total (years)",43.711,1982
Ethiopia,"Life expectancy at birth, total (years)",43.674,1981
Ethiopia,"Life expectancy at birth, total (years)",43.746,1980
Rwanda,"Life expectancy at birth, total (years)",67.496,2017
Rwanda,"Life expectancy at birth, total (years)",67.129,2016
Rwanda,"Life expectancy at birth, total (years)",66.696,2015
Rwanda,"Life expectancy at birth, total (years)",66.188,2014
Rwanda,"Life expectancy at birth, total (years)",65.598,2013
Rwanda,"Life expectancy at birth, total (years)",64.911,2012
Rwanda,"Life expectancy at birth, total (years)",64.106,2011
Rwanda,"Life expectancy at birth, total (years)",63.14,2010
Rwanda,"Life expectancy at birth, total (years)",61.962,2009
Rwanda,"Life expectancy at birth, total (years)",60.565,2008
Rwanda,"Life expectancy at birth, total (years)",58.971,2007
Rwanda,"Life expectancy at birth, total (years)",57.219,2006
Rwanda,"Life expectancy at birth, total (years)",55.43,2005
Rwanda,"Life expectancy at birth, total (years)",53.755,2004
Rwanda,"Life expectancy at birth, total (years)",52.268,2003
