country,indicator,percent,year
Kenya,High-technology exports (% of manufactured exports),3.154125474,2017
Kenya,High-technology exports (% of manufactured exports),3.75860415,2013
Kenya,High-technology exports (% of manufactured exports),5.699216154,2010
Kenya,High-technology exports (% of manufactured exports),5.310636166,2009
Kenya,High-technology exports (% of manufactured exports),4.150339903,2008
Kenya,High-technology exports (% of manufactured exports),5.509385141,2007
Kenya,High-technology exports (% of manufactured exports),3.241746809,2006
Kenya,High-technology exports (% of manufactured exports),2.899397841,2005
Kenya,High-technology exports (% of manufactured exports),3.204391585,2004
Kenya,High-technology exports (% of manufactured exports),3.598450718,2003
Kenya,High-technology exports (% of manufactured exports),10.64008411,2002
Kenya,High-technology exports (% of manufactured exports),4.847553221,2001
Kenya,High-technology exports (% of manufactured exports),3.850825436,2000
Kenya,High-technology exports (% of manufactured exports),3.278857645,1999
Kenya,High-technology exports (% of manufactured exports),4.498277546,1998
Kenya,High-technology exports (% of manufactured exports),4.430175279,1997
Kenya,High-technology exports (% of manufactured exports),4.038602355,1996
Kenya,High-technology exports (% of manufactured exports),3.585291915,1995
Kenya,High-technology exports (% of manufactured exports),3.399168474,1994
Kenya,High-technology exports (% of manufactured exports),2.353851867,1993
Kenya,High-technology exports (% of manufactured exports),1.577908589,1992
Kenya,High-technology exports (% of manufactured exports),3.031446301,1991
Kenya,High-technology exports (% of manufactured exports),4.03288515,1990
Nigeria,High-technology exports (% of manufactured exports),1.900866353,2017
Nigeria,High-technology exports (% of manufactured exports),1.972874212,2016
Nigeria,High-technology exports (% of manufactured exports),2.10433253,2014
Nigeria,High-technology exports (% of manufactured exports),2.736696278,2013
Nigeria,High-technology exports (% of manufactured exports),1.877730528,2012
Nigeria,High-technology exports (% of manufactured exports),1.197366687,2011
Nigeria,High-technology exports (% of manufactured exports),1.089279096,2010
Nigeria,High-technology exports (% of manufactured exports),2.527707198,2009
Nigeria,High-technology exports (% of manufactured exports),0.40851689,2008
Nigeria,High-technology exports (% of manufactured exports),0.995504698,2007
Nigeria,High-technology exports (% of manufactured exports),7.787441826,2006
Nigeria,High-technology exports (% of manufactured exports),1.73081143,2003
Nigeria,High-technology exports (% of manufactured exports),0.14234058,2002
Nigeria,High-technology exports (% of manufactured exports),0.367004309,2001
Nigeria,High-technology exports (% of manufactured exports),0.590697116,2000
Nigeria,High-technology exports (% of manufactured exports),13.39214815,1999
Nigeria,High-technology exports (% of manufactured exports),0.018100013,1998
Nigeria,High-technology exports (% of manufactured exports),0.111631906,1997
Nigeria,High-technology exports (% of manufactured exports),1.675898739,1996
Ghana,High-technology exports (% of manufactured exports),8.134641477,2018
Ghana,High-technology exports (% of manufactured exports),4.237547021,2017
Ghana,High-technology exports (% of manufactured exports),1.509263414,2016
Ghana,High-technology exports (% of manufactured exports),4.882632009,2013
Ghana,High-technology exports (% of manufactured exports),7.385351786,2012
Ghana,High-technology exports (% of manufactured exports),1.652005081,2011
Ghana,High-technology exports (% of manufactured exports),2.004343656,2010
Ghana,High-technology exports (% of manufactured exports),3.662918163,2009
Ghana,High-technology exports (% of manufactured exports),1.429704729,2008
Ghana,High-technology exports (% of manufactured exports),1.05180921,2007
Ghana,High-technology exports (% of manufactured exports),0.179617761,2006
Ghana,High-technology exports (% of manufactured exports),0.196765174,2005
Ghana,High-technology exports (% of manufactured exports),7.227022134,2003
Ghana,High-technology exports (% of manufactured exports),1.049585309,2001
Ghana,High-technology exports (% of manufactured exports),1.934704391,2000
Ghana,High-technology exports (% of manufactured exports),13.58430801,1999
Ghana,High-technology exports (% of manufactured exports),0.573909485,1998
Ghana,High-technology exports (% of manufactured exports),0.490899876,1997
Ghana,High-technology exports (% of manufactured exports),0.362712802,1996
Ghana,High-technology exports (% of manufactured exports),2.192211094,1992
Ethiopia,High-technology exports (% of manufactured exports),17.24350081,2016
Ethiopia,High-technology exports (% of manufactured exports),4.003317802,2015
Ethiopia,High-technology exports (% of manufactured exports),8.096429641,2014
Ethiopia,High-technology exports (% of manufactured exports),2.365517374,2013
Ethiopia,High-technology exports (% of manufactured exports),2.446001195,2012
Ethiopia,High-technology exports (% of manufactured exports),2.014438186,2011
Ethiopia,High-technology exports (% of manufactured exports),2.737154038,2010
Ethiopia,High-technology exports (% of manufactured exports),3.089190464,2009
Ethiopia,High-technology exports (% of manufactured exports),2.624200245,2008
Ethiopia,High-technology exports (% of manufactured exports),2.525616499,2007
Ethiopia,High-technology exports (% of manufactured exports),0.425913751,2006
Ethiopia,High-technology exports (% of manufactured exports),1.452236455,2005
Ethiopia,High-technology exports (% of manufactured exports),16.32191221,2004
Ethiopia,High-technology exports (% of manufactured exports),0.222401268,2003
Ethiopia,High-technology exports (% of manufactured exports),0.126410932,2002
Ethiopia,High-technology exports (% of manufactured exports),0.130423044,2001
Ethiopia,High-technology exports (% of manufactured exports),0.132229923,2000
Ethiopia,High-technology exports (% of manufactured exports),0.190136731,1999
Ethiopia,High-technology exports (% of manufactured exports),0.212903749,1998
Ethiopia,High-technology exports (% of manufactured exports),0.336564552,1997
Ethiopia,High-technology exports (% of manufactured exports),0.317521354,1995
Rwanda,High-technology exports (% of manufactured exports),12.28154688,2016
Rwanda,High-technology exports (% of manufactured exports),12.98356429,2015
Rwanda,High-technology exports (% of manufactured exports),11.89914302,2014
Rwanda,High-technology exports (% of manufactured exports),6.516411959,2013
Rwanda,High-technology exports (% of manufactured exports),2.468931487,2012
